Geneid	8FG1	8FG2	8FG3	8FS1	8FS2	8FS3	8MG1	8MG2	8MG3	8MS1	8MS2	8MS3	8WM1	8WM2	8WM3
latens_genome_00001629	2	0	0	34	14	14	18	50	4	20	18	34	109	60	72
latens_genome_00001630	16	1	16	51	50	72	154	312	116	110	150	102	71	88	43
latens_genome_00001631	14	0	28	24	12	30	344	788	68	128	228	36	96	52	38
latens_genome_00001632	622	794	849	1204	1046	1178	190	124	154	392	688	1080	2582	2089	1890
latens_genome_00001635	0	10	10	52	148	74	6	12	4	40	130	20	12	50	27
latens_genome_00001636	0	0	0	0	0	0	0	0	0	2	5	0	5	0	1
latens_genome_00001639	0	0	0	0	0	0	0	0	0	2	4	1	3	0	0
latens_genome_00001641	2	4	0	18	22	12	0	0	0	0	3	4	0	6	0
latens_genome_00001617	4	24	21	57	243	182	48	74	18	158	171	60	814	557	562
latens_genome_00001618	10	8	18	68	84	100	30	48	10	112	94	36	257	236	172
latens_genome_00001619	0	0	0	8	0	4	0	0	0	8	8	47	0	8	0
latens_genome_00001620	0	0	0	3	0	4	0	2	0	26	6	13	2	0	2
latens_genome_00001621	12	2	0	16	40	32	184	890	75	142	88	48	58	46	18
latens_genome_00001622	4	0	6	19	18	10	6	6	16	49	60	55	38	36	12
latens_genome_00001623	76	111	122	118	146	98	0	4	2	16	68	24	70	86	60
latens_genome_00001624	24	32	34	62	60	28	60	60	0	96	162	34	100	88	31
latens_genome_00001625	775	0	70	313	4	92	11477	11085	4128	2767	4425	2551	6547	3152	3098
latens_genome_00001626	0	0	2	15	4	19	2	18	0	18	22	20	4	0	12
latens_genome_00001633	10	12	6	73	27	66	4	112	9	45	220	39	92	102	46
latens_genome_00001638	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001637	0	0	0	0	0	4	10	2	0	2	3	0	4	9	1
latens_genome_00001634	0	0	0	0	0	0	0	0	0	6	2	4	4	4	4
latens_genome_00001640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
latens_genome_00001627	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
latens_genome_00001867	0	0	0	34	16	18	10	0	2	28	12	16	4	6	10
latens_genome_00001868	347	36	104	2515	1411	2545	187	81	51	644	747	687	1836	1682	1485
latens_genome_00001870	4	0	2	56	24	64	6	16	6	59	38	48	72	65	71
latens_genome_00001871	5153	5777	5828	4641	4745	5025	4530	2583	3368	3964	2820	4201	5254	5215	4299
latens_genome_00001876	8	2	4	32	10	142	10	6	8	44	66	74	1685	1390	848
latens_genome_00001878	14153	11115	12049	16155	14487	10730	4750	1889	2671	4480	4658	7771	16371	18275	16191
latens_genome_00001880	94	97	80	149	237	234	101	158	95	267	384	242	703	618	477
latens_genome_00001882	24955	36766	28398	18949	26190	17434	4797	2296	4010	3293	2801	4898	9220	13787	8576
latens_genome_00001883	3494	137	580	1656	338	764	51325	40801	20459	16819	22769	11717	23849	11892	11194
